english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Library Settings	Bibliothek Einstellungen	Réglages bibliothèque	라이브러리 설정	Ajustes de biblioteca					Impostazioni libreria	Configurações da biblioteca		Ustawienia biblioteki
Library settings	Bibliothek Einstellungen	Réglages bibliothèque	라이브러리 설정	Ajustes de biblioteca					Impostazioni libreria	Configurações da biblioteca		Ustawienia biblioteki
Loading the page…	Seite wird geladen…	Chargement de la page…	문서를 불러오는 중…	Cargando la página…					Caricamento della pagina…	Carregando a página…		Wczytywanie strony…
Loading…	Lädt…	Chargement…	불러오는 중…	Cargando…					Caricamento…	Carregando…		Wczytywanie…
MSI Center M and its Game Bar widget are back.	MSI Center M und sein Game-Bar-Widget sind zurück.	MSI Center M et son widget Game Bar sont de retour.	MSI Center M과 게임 바 위젯이 돌아왔습니다.	MSI Center M y su widget de Game Bar han vuelto.					MSI Center M e il suo widget della Game Bar sono tornati.	O MSI Center M e seu widget da Game Bar estão de volta.		MSI Center M i jego widżet Game Bar wróciły.
MSI Center M is back, but its Game Bar widget could not be restored. Reinstall MSI Center M to get the widget back.	MSI Center M ist zurück, sein Game-Bar-Widget aber nicht. Installiere MSI Center M neu, um das Widget zurückzubekommen.	MSI Center M est de retour, mais pas son widget Game Bar. Réinstalle MSI Center M pour récupérer le widget.	MSI Center M은 돌아왔지만 게임 바 위젯은 복구되지 않았습니다. 위젯을 되찾으려면 MSI Center M을 다시 설치하세요.	MSI Center M ha vuelto, pero su widget de Game Bar no. Reinstala MSI Center M para recuperarlo.					MSI Center M è tornato, ma il suo widget della Game Bar no. Reinstalla MSI Center M per riavere il widget.	O MSI Center M voltou, mas seu widget da Game Bar não pôde ser restaurado. Reinstale o MSI Center M para recuperar o widget.		MSI Center M wrócił, ale nie udało się przywrócić jego widżetu Game Bar. Zainstaluj MSI Center M ponownie, aby odzyskać widżet.
MSI Center M is not installed on this device.	MSI Center M ist auf diesem Gerät nicht installiert.	MSI Center M n'est pas installé sur cet appareil.	이 기기에는 MSI Center M이 설치되어 있지 않습니다.	MSI Center M no está instalado en este dispositivo.					MSI Center M non è installato su questo dispositivo.	O MSI Center M não está instalado neste dispositivo.		MSI Center M nie jest zainstalowany na tym urządzeniu.
Macro	Makro	Macro	매크로	Macro					Macro			Makro
Main versions	Hauptversionen	Versions principales	주요 버전	Versiones principales					Versioni principali	Versões principais		Wersje główne
Manage your ClawTweaks settings — back them up, restore a previous backup, or reset everything to a clean state.	Verwalte deine ClawTweaks-Einstellungen — sichern, ein Backup zurückholen oder alles zurücksetzen.	Gérez vos réglages ClawTweaks — sauvegarde, restauration, ou remise à zéro complète.	ClawTweaks 설정을 관리합니다 — 백업, 복원, 또는 전체 초기화.	Gestiona tus ajustes de ClawTweaks — copia, restaura o restablece todo.					Gestisci le impostazioni di ClawTweaks — fai un backup, ripristinane uno precedente o azzera tutto.	Gerencie suas configurações do ClawTweaks — faça backup, restaure um backup anterior ou redefina tudo.		Zarządzaj ustawieniami ClawTweaks — utwórz kopię, przywróć wcześniejszą lub zresetuj wszystko.
Menu	Menü	Menu	메뉴	Menú					Menu			
Minimize	Minimieren	Réduire	최소화	Minimizar					Riduci	Minimizar		Minimalizuj
Minimize Center	Center minimieren	Réduire Center	Center 최소화	Minimizar Center					Riduci Center a icona	Minimizar o Center		Minimalizuj Center
Mode: Fresh install	Modus: Neuinstallation	Mode : installation neuve	모드: 새로 설치	Modo: instalación nueva					Modalità: nuova installazione	Modo: instalação nova		Tryb: nowa instalacja
Mode: Update	Modus: Update	Mode : mise à jour	모드: 업데이트	Modo: actualizar					Modo: aggiornamento	Modo: atualização		Tryb: aktualizacja
Mouse	Maus	Souris	마우스	Ratón					Mouse			Mysz
My Apps	Meine Apps	Mes apps	내 앱	Mis apps					Le mie app	Meus apps		Moje apl.
NOT detected (VID_0DB0). The controller is missing, or MSI Center M has taken it over.	NICHT erkannt (VID_0DB0). Der Controller fehlt, oder MSI Center M hat ihn übernommen.	NON détecté (VID_0DB0). La manette est absente, ou MSI Center M l'a prise.	감지되지 않음 (VID_0DB0). 컨트롤러가 없거나 MSI Center M이 가져갔습니다.	NO detectado (VID_0DB0). Falta el mando, o MSI Center M lo ha tomado.					NON rilevato (VID_0DB0). Il controller manca, oppure MSI Center M se n'è impossessato.	NÃO detectado (VID_0DB0). O controle está ausente ou o MSI Center M assumiu o controle dele.		NIE wykryto (VID_0DB0). Kontrolera brakuje lub przejął go MSI Center M.
Nearest Neighbour	Nächster Nachbar	Plus proche voisin	최근접 이웃	Vecino más cercano					Nearest Neighbour	Vizinho mais próximo		Najbliższy sąsiad
New update — background helper started	Neues Update — Hintergrund-Helper gestartet	Nouvelle mise à jour — helper démarré	새 업데이트 — 백그라운드 헬퍼 시작됨	Nueva actualización — helper iniciado					Nuovo aggiornamento — helper in background avviato	Nova atualização — helper em segundo plano iniciado		Nowa aktualizacja — helper w tle uruchomiony
Newer than installed	Neuer als installiert	Plus récente qu'installée	설치된 것보다 최신	Más nueva que la instalada					Più recente di quella installata	Mais nova que a instalada		Nowsza niż zainstalowana
Next: controller health, required tools, the signing certificate, then the app itself. Each step re-checks live and won't let you continue until it's satisfied.	Als Nächstes: Controller-Zustand, benötigte Tools, das Signaturzertifikat, dann die App selbst. Jeder Schritt prüft live und lässt dich erst weiter, wenn er erfüllt ist.	Ensuite : état de la manette, outils requis, certificat de signature, puis l'app elle-même. Chaque étape revérifie en direct et ne laisse pas continuer avant d'être satisfaite.	다음 순서: 컨트롤러 상태, 필요한 도구, 서명 인증서, 그리고 앱 자체입니다. 각 단계는 실시간으로 다시 확인하며 충족될 때까지 진행할 수 없습니다.	A continuación: estado del mando, herramientas necesarias, el certificado de firma y luego la app. Cada paso se revisa en vivo y no deja continuar hasta cumplirse.					Ora: stato del controller, strumenti richiesti, certificato di firma, poi l'app stessa. Ogni passo ricontrolla dal vivo e non ti fa proseguire finché non è a posto.	A seguir: estado do controle, ferramentas necessárias, certificado de assinatura e depois o app. Cada etapa verifica ao vivo e só deixa continuar quando estiver satisfeita.		Dalej: stan kontrolera, wymagane narzędzia, certyfikat podpisu, a potem sama aplikacja. Każdy krok sprawdza na żywo i nie pozwoli przejść dalej, dopóki nie będzie spełniony.
No .cer bundled with this setup build (dev run).	Kein .cer in diesem Setup-Build enthalten (Dev-Lauf).	Aucun .cer fourni avec ce build (exécution dev).	이 설치 빌드에 .cer이 없습니다 (개발 실행).	Este build no incluye .cer (ejecución de desarrollo).					Nessun .cer incluso in questa build del setup (esecuzione dev).	Nenhum .cer incluído neste build do setup (execução de dev).		Brak pliku .cer w tej wersji instalatora (wersja dev).
No .msix bundled with this setup build (dev run).	Kein .msix in diesem Setup-Build enthalten (Dev-Lauf).	Aucun .msix fourni avec ce build (exécution dev).	이 설치 빌드에 .msix가 없습니다 (개발 실행).	Este build no incluye .msix (ejecución de desarrollo).					Nessun .msix incluso in questa build del setup (esecuzione dev).	Nenhum .msix incluído neste build do setup (execução de dev).		Brak pliku .msix w tej wersji instalatora (wersja dev).
No Epic games installed.	Keine Epic-Spiele installiert.	Aucun jeu Epic installé.	설치된 Epic 게임이 없습니다.	No hay juegos de Epic.					Nessun gioco Epic installato.	Nenhum jogo Epic instalado.		Brak zainstalowanych gier Epic.
No ROM has been played yet.	Noch kein ROM gespielt.	Aucune ROM jouée.	플레이한 ROM이 없습니다.	Aún no has jugado ROMs.					Nessuna ROM giocata finora.	Nenhuma ROM foi jogada ainda.		Nie zagrano jeszcze w żaden ROM.
No ROMs in your Playnite library.	Keine ROMs in deiner Playnite-Bibliothek.	Aucune ROM dans votre bibliothèque Playnite.	Playnite 라이브러리에 ROM이 없습니다.	No hay ROMs en tu biblioteca de Playnite.					Nessuna ROM nella tua libreria Playnite.	Nenhuma ROM na sua biblioteca Playnite.		Brak ROM-ów w bibliotece Playnite.
No Steam games installed.	Keine Steam-Spiele installiert.	Aucun jeu Steam installé.	설치된 Steam 게임이 없습니다.	No hay juegos de Steam.					Nessun gioco Steam installato.	Nenhum jogo Steam instalado.		Brak zainstalowanych gier Steam.
No Steam library found on this device.	Keine Steam-Bibliothek auf diesem Gerät gefunden.	Aucune bibliothèque Steam trouvée sur cet appareil.	이 기기에서 Steam 라이브러리를 찾지 못했습니다.	No se encontró una biblioteca de Steam en este dispositivo.					Nessuna libreria Steam trovata su questo dispositivo.	Nenhuma biblioteca Steam encontrada neste dispositivo.		Nie znaleziono biblioteki Steam na tym urządzeniu.
No Xbox games installed.	Keine Xbox-Spiele installiert.	Aucun jeu Xbox installé.	설치된 Xbox 게임이 없습니다.	No hay juegos de Xbox.					Nessun gioco Xbox installato.	Nenhum jogo Xbox instalado.		Brak zainstalowanych gier Xbox.
No apps added yet.	Noch keine Apps hinzugefügt.	Aucune app ajoutée.	아직 추가된 앱이 없습니다.	Aún no hay apps añadidas.					Nessuna app aggiunta ancora.	Nenhum app adicionado ainda.		Nie dodano jeszcze aplikacji.
No backup selected	Kein Backup ausgewählt	Aucun backup sélectionné	선택된 백업 없음	Sin copia seleccionada					Nessun backup selezionato	Nenhum backup selecionado		Nie wybrano kopii
No backups found	Keine Backups gefunden	Aucun backup trouvé	백업을 찾지 못했습니다	No hay copias					Nessun backup trovato	Nenhum backup encontrado		Nie znaleziono kopii
No duplicate helper detected	Kein doppelter Helper gefunden	Aucun helper en double	중복 헬퍼 없음	Sin helpers duplicados					Nessun helper duplicato rilevato	Nenhum helper duplicado detectado		Nie wykryto zdublowanego helpera
No existing ClawTweaks installation was found. The setup will guide you through the full first-time installation.	Keine vorhandene ClawTweaks-Installation gefunden. Das Setup führt dich durch die komplette Erstinstallation.	Aucune installation ClawTweaks trouvée. Le setup vous guide dans la première installation complète.	기존 ClawTweaks 설치가 없습니다. 설치 프로그램이 최초 설치 전체를 안내합니다.	No hay instalación previa de ClawTweaks. El setup te guía en la primera instalación.					Nessuna installazione di ClawTweaks trovata. Il setup ti guida nella prima installazione completa.	Nenhuma instalação do ClawTweaks foi encontrada. O setup guiará você pela primeira instalação completa.		Nie znaleziono instalacji ClawTweaks. Instalator przeprowadzi Cię przez pełną pierwszą instalację.
No favorites yet.	Noch keine Favoriten.	Aucun favori.	즐겨찾기가 없습니다.	No hay favoritos.					Nessun preferito ancora.	Nenhum favorito ainda.		Brak ulubionych.
No game has been played yet.	Noch kein Spiel gespielt.	Aucun jeu joué pour l'instant.	아직 플레이한 게임이 없습니다.	Aún no has jugado a nada.					Nessun gioco giocato finora.	Nenhum jogo foi jogado ainda.		Nie zagrano jeszcze w żadną grę.
No games found.	Keine Spiele gefunden.	Aucun jeu trouvé.	게임을 찾지 못했습니다.	No se encontraron juegos.					Nessun gioco trovato.	Nenhum jogo encontrado.		Nie znaleziono gier.
No games from these stores installed.	Keine Spiele aus diesen Stores installiert.	Aucun jeu de ces stores n'est installé.	이 스토어의 게임이 설치되어 있지 않습니다.	No hay juegos instalados de estas tiendas.					Nessun gioco di questi store installato.	Nenhum jogo dessas lojas instalado.		Brak zainstalowanych gier z tych sklepów.
No installable package found after staging.	Nach dem Bereitstellen kein installierbares Paket gefunden.	Aucun paquet installable après la préparation.	준비 후 설치 가능한 패키지를 찾지 못했습니다.	No se encontró paquete instalable tras preparar.					Nessun pacchetto installabile trovato dopo la preparazione.	Nenhum pacote instalável encontrado após a preparação.		Nie znaleziono pakietu do instalacji po przygotowaniu.
No portrait covers found for that search.	Keine Hochkant-Cover für diese Suche gefunden.	Aucune jaquette portrait pour cette recherche.	해당 검색에 세로 커버가 없습니다.	No hay portadas verticales para esa búsqueda.					Nessuna copertina verticale trovata per questa ricerca.	Nenhuma capa vertical encontrada para essa busca.		Nie znaleziono pionowych okładek dla tego zapytania.
No restart necessary.	Kein Neustart nötig.	Aucun redémarrage requis.	재부팅이 필요 없습니다.	No hace falta reiniciar.					Nessun riavvio necessario.	Nenhum reinício necessário.		Ponowne uruchomienie niepotrzebne.
No uninstaller found for the older version.	Kein Deinstallationsprogramm für die ältere Version gefunden.	Aucun désinstalleur trouvé pour l'ancienne version.	이전 버전의 제거 프로그램을 찾지 못했습니다.	No se encontró desinstalador de la versión antigua.					Nessun programma di disinstallazione trovato per la versione precedente.	Nenhum desinstalador encontrado para a versão antiga.		Nie znaleziono deinstalatora starszej wersji.
No virtual pad detected — rolled back to the hardware controller.	Kein virtueller Pad erkannt — zurück zum Hardware-Controller.	Aucune manette virtuelle détectée — retour à la manette physique.	가상 패드를 찾지 못해 하드웨어 컨트롤러로 되돌렸습니다.	No se detectó mando virtual — se volvió al mando físico.					Nessun pad virtuale rilevato — tornato al controller hardware.	Nenhum controle virtual detectado — voltou ao controle de hardware.		Nie wykryto wirtualnego pada — powrót do kontrolera sprzętowego.
No. The library runs on its own, without the Game Bar.	Nein. Die Bibliothek läuft eigenständig, ohne die Game Bar.	Non. La bibliothèque fonctionne seule, sans le Game Bar.	아니요. 라이브러리는 게임 바 없이 단독으로 동작합니다.	No. La biblioteca funciona sola, sin la Game Bar.					No. La libreria funziona da sola, senza la Game Bar.	Não. A biblioteca funciona sozinha, sem a Game Bar.		Nie. Biblioteka działa samodzielnie, bez Game Bar.
Not Installed	Nicht installiert	Non installés	미설치	No instalados					Non installato	Não instalado		Niezainstalowane
Not a recognized backup	Kein erkanntes Backup	Backup non reconnu	인식되지 않는 백업	Copia no reconocida					Backup non riconosciuto	Backup não reconhecido		Nierozpoznana kopia
Not checked yet.	Noch nicht geprüft.	Pas encore vérifié.	아직 확인하지 않음.	Aún sin comprobar.					Non ancora verificato.	Ainda não verificado.		Jeszcze nie sprawdzono.
Not in the bar yet — favorite ClawTweaks in the Game Bar (Win+G), then Check.	Noch nicht in der Bar — ClawTweaks in der Game Bar (Win+G) favorisieren, dann Prüfen.	Pas encore dans la barre — mettez ClawTweaks en favori (Win+G), puis Vérifier.	아직 없습니다 — Game Bar(Win+G)에서 ClawTweaks를 즐겨찾기한 뒤 확인하세요.	Aún no está — marca ClawTweaks como favorito (Win+G) y pulsa Comprobar.					Non ancora nella barra — aggiungi ClawTweaks ai preferiti della Game Bar (Win+G), poi Verifica.	Ainda não está na barra — favorite o ClawTweaks na Game Bar (Win+G) e depois Verificar.		Jeszcze nie na pasku — dodaj ClawTweaks do ulubionych w Game Bar (Win+G), potem Sprawdź.
Not installed	Nicht installiert	Non installé	미설치	No instalado					Non installato	Não instalado		Niezainstalowane
Not mounted right now. Expected only while virtual mode is running — normal at setup time.	Gerade nicht eingebunden. Nur im virtuellen Modus zu erwarten — bei der Einrichtung normal.	Pas monté actuellement. Attendu seulement en mode virtuel — normal à l'installation.	현재 연결되어 있지 않습니다. 가상 모드에서만 나타나며 설치 중에는 정상입니다.	Ahora no está montado. Solo se espera en modo virtual — normal al instalar.					Non montato al momento. Previsto solo con la modalità virtuale attiva — normale durante il setup.	Não montado agora. Esperado apenas com o modo virtual ativo — normal durante o setup.		Obecnie niezamontowany. Oczekiwany tylko w trybie wirtualnym — normalne podczas instalacji.
Not now	Jetzt nicht	Plus tard	나중에	Ahora no					Non ora	Agora não		Nie teraz
Not present (good).	Nicht vorhanden (gut).	Absent (bien).	없음 (양호).	No presente (bien).					Non presente (bene).	Ausente (bom).		Nieobecny (dobrze).
Not running (good).	Läuft nicht (gut).	Ne tourne pas (bien).	실행 중 아님 (양호).	No está activo (bien).					Non in esecuzione (bene).	Não em execução (bom).		Nie działa (dobrze).
Not running yet — starts after install via the Game Bar.	Läuft noch nicht — startet nach der Installation über die Game Bar.	Pas encore lancé — démarre après l'installation via la Game Bar.	아직 실행 안 됨 — 설치 후 Game Bar에서 시작합니다.	Aún no activo — arranca tras instalar, desde la Game Bar.					Non ancora in esecuzione — parte dopo l'installazione tramite la Game Bar.	Ainda não em execução — inicia após a instalação pela Game Bar.		Jeszcze nie działa — uruchomi się po instalacji przez Game Bar.
Not set.	Kein Key.	Non défini.	설정 안 됨.	Sin definir.					Non definito.	Não definido.		Brak.
Not supported on this device	Auf diesem Gerät nicht unterstützt	Non pris en charge sur cet appareil	이 장치에서는 지원되지 않음	No compatible con este dispositivo					Non supportato su questo dispositivo	Não suportado neste dispositivo		Nieobsługiwane na tym urządzeniu
Not trusted yet — will be trusted during install.	Noch nicht vertraut — wird bei der Installation eingetragen.	Pas encore approuvé — le sera pendant l'installation.	아직 신뢰되지 않음 — 설치 중에 등록됩니다.	Aún sin confianza — se añadirá durante la instalación.					Non ancora attendibile — lo diventerà durante l'installazione.	Ainda não confiável — será confiado durante a instalação.		Jeszcze niezaufany — zostanie zaufany podczas instalacji.
Nothing found	Nichts gefunden	Rien trouvé	찾지 못했습니다	Nada encontrado					Nessun risultato	Nada encontrado		Nic nie znaleziono
Nothing found to add.	Nichts zum Hinzufügen gefunden.	Rien à ajouter.	추가할 항목이 없습니다.	No hay nada que añadir.					Niente da aggiungere.	Nada encontrado para adicionar.		Nie znaleziono nic do dodania.
Nothing found yet.	Noch nichts gefunden.	Rien trouvé pour l'instant.	아직 찾은 것이 없습니다.	Aún no hay nada.					Ancora nessun risultato.	Nada encontrado ainda.		Jeszcze nic nie znaleziono.
Off	Aus	Inactif	꺼짐	Apagado					Off	Desl.		Wył.
Older than installed	Älter als installiert	Plus ancienne qu'installée	설치된 것보다 이전	Más antigua que la instalada					Più vecchia di quella installata	Mais antiga que a instalada		Starsza niż zainstalowana
On	An	Activé	켬	Activo					On	Lig.		Wł.
Onboarding lists it as a to-do the first time you install ClawTweaks.	Beim ersten Installieren von ClawTweaks steht es im Onboarding als Aufgabe.	Lors de la première installation de ClawTweaks, l'onboarding l'indique comme à faire.	ClawTweaks를 처음 설치할 때 온보딩에 할 일로 표시됩니다.	Al instalar ClawTweaks por primera vez, aparece como tarea en el onboarding.					L'onboarding lo elenca come attività alla prima installazione di ClawTweaks.	O onboarding lista isso como tarefa na primeira instalação do ClawTweaks.		Wprowadzenie wymienia to jako zadanie przy pierwszej instalacji ClawTweaks.
Once, at the first install, to register its background task.	Einmal bei der Erstinstallation, um seine Hintergrundaufgabe anzulegen.	Une fois, à la première installation, pour créer sa tâche de fond.	최초 설치 때 한 번, 백그라운드 작업을 등록하기 위해서입니다.	Una vez, en la primera instalación, para registrar su tarea de fondo.					Una volta, alla prima installazione, per registrare la sua attività in background.	Uma vez, na primeira instalação, para registrar sua tarefa em segundo plano.		Raz, przy pierwszej instalacji, aby zarejestrować zadanie w tle.
One click in the widget or in Center brings Center M back.	Ein Klick im Widget oder in Center holt Center M zurück.	Un clic dans le widget ou dans Center rend Center M.	위젯이나 Center에서 한 번만 누르면 Center M이 돌아옵니다.	Un clic en el widget o en Center devuelve Center M.					Un clic nel widget o in Center riporta Center M.	Um clique no widget ou no Center traz o Center M de volta.		Jedno kliknięcie w widżecie lub w Center przywraca Center M.
Only Steam is supported for now.	Bisher wird nur Steam unterstützt.	Seul Steam est pris en charge pour l'instant.	현재는 Steam만 지원합니다.	Por ahora solo se admite Steam.					Per ora è supportato solo Steam.	Por enquanto só o Steam é suportado.		Na razie obsługiwany jest tylko Steam.
Only for apps you added yourself	Nur für selbst hinzugefügte Apps	Seulement pour les apps ajoutées à la main	직접 추가한 앱에만 적용됩니다	Solo para apps añadidas por ti					Solo per le app aggiunte da te	Só para apps que você mesmo adicionou		Tylko dla aplikacji dodanych ręcznie
Only the ClawTweaks widget lives in the Game Bar.	Nur das ClawTweaks-Widget sitzt in der Game Bar.	Seul le widget ClawTweaks vit dans le Game Bar.	게임 바에 있는 것은 ClawTweaks 위젯뿐입니다.	Solo el widget de ClawTweaks vive en la Game Bar.					Solo il widget ClawTweaks vive nella Game Bar.	Só o widget do ClawTweaks fica na Game Bar.		Tylko widżet ClawTweaks mieszka w Game Bar.
Open	Öffnen	Ouvrir	열기	Abrir					Apri	Abrir		Otwórz
Open OptiClick	OptiClick öffnen	Ouvrir OptiClick	OptiClick 열기	Abrir OptiClick					Apri OptiClick	Abrir o OptiClick		Otwórz OptiClick
Open Reset · Backup · Restore on the start screen.	Auf dem Startbildschirm Reset · Backup · Restore öffnen.	Ouvre Reset · Backup · Restore sur l'écran d'accueil.	시작 화면에서 Reset · Backup · Restore를 여세요.	Abre Reset · Backup · Restore en la pantalla de inicio.					Apri Reset · Backup · Restore nella schermata iniziale.	Abra Redefinir · Backup · Restaurar na tela inicial.		Otwórz Reset · Kopia · Przywracanie na ekranie startowym.
Open Steam	Steam öffnen	Ouvrir Steam	Steam 열기	Abrir Steam					Apri Steam	Abrir o Steam		Otwórz Steam
Open SteamGridDB	SteamGridDB öffnen	Ouvrir SteamGridDB	SteamGridDB 열기	Abrir SteamGridDB					Apri SteamGridDB	Abrir o SteamGridDB		Otwórz SteamGridDB
Open Windows Settings, go to Apps, find "ClawTweaks Center" and uninstall it, then press Re-check.	Windows-Einstellungen öffnen, zu Apps gehen, "ClawTweaks Center" suchen und deinstallieren, dann Neu prüfen drücken.	Ouvrez les Paramètres Windows, allez dans Applications, trouvez "ClawTweaks Center", désinstallez-le, puis Revérifier.	Windows 설정을 열고 앱에서 "ClawTweaks Center"를 찾아 제거한 뒤 다시 확인을 누르세요.	Abre Configuración de Windows, ve a Aplicaciones, busca "ClawTweaks Center", desinstálalo y pulsa Recomprobar.					Apri Impostazioni di Windows, vai in App, trova "ClawTweaks Center" e disinstallalo, poi premi Ricontrolla.	Abra as Configurações do Windows, vá em Aplicativos, encontre "ClawTweaks Center", desinstale-o e depois pressione Verificar de novo.		Otwórz Ustawienia Windows, przejdź do Aplikacje, znajdź „ClawTweaks Center” i odinstaluj, potem naciśnij Sprawdź ponownie.
Open all	Alle öffnen	Tout ouvrir	모두 열기	Abrir todo					Apri tutto	Abrir tudo		Otwórz wszys.
Open download page	Downloadseite öffnen	Page de téléchargement	다운로드 페이지 열기	Abrir página de descarga					Apri pagina di download	Abrir página de download		Otwórz stronę pobierania
ClawTweaks is not running	ClawTweaks läuft nicht	ClawTweaks ne tourne pas	ClawTweaks가 실행 중이 아닙니다	ClawTweaks no se está ejecutando					ClawTweaks non è in esecuzione	O ClawTweaks não está em execução		ClawTweaks nie działa
Install ClawTweaks with the Setup to get versions here.	Installiere ClawTweaks mit dem Setup, um hier Versionen zu bekommen.	Installez ClawTweaks avec le Setup pour voir les versions ici.	여기서 버전을 받으려면 Setup으로 ClawTweaks를 설치하세요.	Instala ClawTweaks con el Setup para ver versiones aquí.					Installa ClawTweaks con il Setup per vedere qui le versioni.	Instale o ClawTweaks com o Setup para ver versões aqui.		Zainstaluj ClawTweaks instalatorem, aby zobaczyć tu wersje.
Get the Setup	Setup herunterladen	Obtenir le Setup	Setup 받기	Obtener el Setup					Scarica il Setup	Obter o Setup		Pobierz instalator
Open download pages	Downloadseiten öffnen	Ouvrir les pages	다운로드 페이지 열기	Abrir páginas					Apri le pagine di download	Abrir páginas de download		Otwórz strony pobierania
Open in browser	Im Browser öffnen	Ouvrir dans le navigateur	브라우저로 열기	Abrir en el navegador					Apri nel browser	Abrir no navegador		Otwórz w przeglądarce
Open the Game Bar (Win+G) once to start it, then press Ⓨ. You can still uninstall Center.	Öffne einmal die Game Bar (Win+G), dann Ⓨ drücken. Center lässt sich trotzdem deinstallieren.	Ouvre le Game Bar (Win+G) une fois, puis appuie sur Ⓨ. Tu peux quand même désinstaller Center.	게임 바(Win+G)를 한 번 연 다음 Ⓨ를 누르세요. Center는 그래도 제거할 수 있습니다.	Abre la Game Bar (Win+G) una vez y pulsa Ⓨ. Aun así puedes desinstalar Center.					Apri la Game Bar (Win+G) una volta per avviarlo, poi premi Ⓨ. Puoi comunque disinstallare Center.	Abra a Game Bar (Win+G) uma vez para iniciá-lo e pressione Ⓨ. Você ainda pode desinstalar o Center.		Otwórz raz Game Bar (Win+G), aby go uruchomić, potem naciśnij Ⓨ. Nadal możesz odinstalować Center.
Open the Game Bar (Win+G), favorite ClawTweaks, then Check.	Game Bar öffnen (Win+G), ClawTweaks favorisieren, dann Prüfen.	Ouvrez la Game Bar (Win+G), mettez ClawTweaks en favori, puis Vérifier.	Game Bar(Win+G)를 열고 ClawTweaks를 즐겨찾기한 뒤 확인하세요.	Abre la Game Bar (Win+G), marca ClawTweaks y pulsa Comprobar.					Apri la Game Bar (Win+G), metti ClawTweaks tra i preferiti, poi Verifica.	Abra a Game Bar (Win+G), favorite o ClawTweaks e depois Verificar.		Otwórz Game Bar (Win+G), dodaj ClawTweaks do ulubionych, potem Sprawdź.
Open the Game Bar manually (Win+G).	Game Bar von Hand öffnen (Win+G).	Ouvrez la Game Bar à la main (Win+G).	Game Bar를 직접 여세요 (Win+G).	Abre la Game Bar a mano (Win+G).					Apri la Game Bar manualmente (Win+G).	Abra a Game Bar manualmente (Win+G).		Otwórz Game Bar ręcznie (Win+G).
Open the Game Bar once if it is not running.	Öffne einmal die Game Bar, falls er nicht läuft.	Ouvre le Game Bar une fois s'il ne tourne pas.	실행되지 않으면 게임 바를 한 번 여세요.	Abre la Game Bar una vez si no está en marcha.					Apri la Game Bar una volta se non è in esecuzione.	Abra a Game Bar uma vez se ela não estiver em execução.		Otwórz raz Game Bar, jeśli nie działa.
Opening Game Bar — the ClawTweaks widget will start the helper…	Game Bar wird geöffnet — das ClawTweaks-Widget startet den Helper…	Ouverture de la Game Bar — le widget ClawTweaks démarre le helper…	Game Bar를 여는 중 — ClawTweaks 위젯이 헬퍼를 시작합니다…	Abriendo la Game Bar — el widget de ClawTweaks arrancará el helper…					Apertura della Game Bar — il widget ClawTweaks avvierà l'helper…	Abrindo a Game Bar — o widget do ClawTweaks iniciará o helper…		Otwieranie Game Bar — widżet ClawTweaks uruchomi helper…
OptiScaler wiki	OptiScaler-Wiki	Wiki OptiScaler	OptiScaler 위키	Wiki OptiScaler					Wiki OptiScaler	Wiki do OptiScaler		Wiki OptiScaler
Other Stores	Andere Stores	Autres stores	기타 스토어	Otras tiendas					Altri store	Outras lojas		Inne sklepy
Output	Ausgabe	Sortie	출력	Salida					Uscita	Saída		Wyjście
P-core EPP	P-Kerne EPP	EPP cœurs P	P코어 EPP	EPP núcleos P					EPP P-core	EPP P-core		EPP P-core
P-core max	P-Kerne max.	Max cœurs P	P코어 최대	Máx. núcleos P					Max P-core	Máx. P-core		Maks. P-core
P-core state	P-Kerne Zustand	État cœurs P	P코어 상태	Estado núcleos P					Stato P-core	Estado P-core		Stan P-core
Package installed.	Paket installiert.	Paquet installé.	패키지가 설치되었습니다.	Paquete instalado.					Pacchetto installato.	Pacote instalado.		Pakiet zainstalowany.
Performance	Leistung	Performance	성능	Rendimiento					Prestazioni	Desempenho		Wydajność
Physical MSI Claw controller	Physischer MSI-Claw-Controller	Manette MSI Claw physique	물리 MSI Claw 컨트롤러	Mando físico MSI Claw					Controller fisico MSI Claw	Controle físico do MSI Claw		Fizyczny kontroler MSI Claw
Pick a backup to restore. A safety copy of the current state is taken automatically first, then the helper restarts to load the restored settings.	Wähle ein Backup zum Zurückholen. Vom aktuellen Stand wird zuerst automatisch eine Sicherung angelegt, danach startet der Helper neu und lädt die Einstellungen.	Choisissez un backup à restaurer. Une copie de sécurité de l'état actuel est faite d'abord, puis le helper redémarre pour charger les réglages.	복원할 백업을 선택하세요. 현재 상태를 먼저 자동으로 백업한 뒤 헬퍼가 다시 시작하며 설정을 불러옵니다.	Elige una copia para restaurar. Primero se guarda automáticamente el estado actual y después el helper se reinicia para cargar los ajustes.					Scegli un backup da ripristinare. Prima viene fatta in automatico una copia di sicurezza dello stato attuale, poi l'helper si riavvia per caricare le impostazioni ripristinate.	Escolha um backup para restaurar. Uma cópia de segurança do estado atual é feita antes, e o helper reinicia para carregar as configurações restauradas.		Wybierz kopię do przywrócenia. Najpierw automatycznie zapisywana jest kopia bieżącego stanu, potem helper uruchamia się ponownie z przywróconymi ustawieniami.
